Substrate 1,Substrate 2,Substrate 3,Substrate 4,Substrate 5,Substrate 6,Substrate 7,Substrate 8,Substrate 9,Substrate 10,Substrate 11,Substrate 12,Substrate 13,Substrate 14,Substrate 15,Substrate 16,Substrate 17,Substrate 18,Substrate 19,Substrate 20,Substrate 21,Substrate 22,Substrate 23,Substrate 24,Substrate 25,Substrate 26,Substrate 27,Substrate 28,Substrate 29,Substrate 30,Substrate 31,Substrate 32,Substrate 33,Substrate 34,Substrate 35,Substrate 36,Substrate 37,Substrate 38,Substrate 39,Substrate 40,Substrate 41,Substrate 42,Substrate 43,Substrate 44,Substrate 45,Substrate 46,Substrate 47,Substrate 48,Substrate 49,Substrate 50,Substrate 51,Substrate 52,Substrate 53,Substrate 54,Substrate 55,Substrate 56,Substrate 57,Substrate 58,Substrate 59,Substrate 60,Substrate 61,Substrate 62,Substrate 63,Substrate 64,Substrate 65,Substrate 66,Substrate 67,Substrate 68,Substrate 69,Substrate 70,Substrate 71,Substrate 72,Substrate 73,Substrate 74,Substrate 75,Substrate 76,Substrate 77,Substrate 78,Substrate 79,Substrate 80,Substrate 81,Substrate 82,Substrate 83,Substrate 84,Substrate 85,Substrate 86,Substrate 87,Substrate 88,Substrate 89,Substrate 90,Substrate 91,Substrate 92,Substrate 93,Substrate 94,Substrate 95,Substrate 96,Substrate 97,Substrate 98,Substrate 99,Substrate 100,
69764,93004,99968,100087,100057,100247,99767,100110,100036,99928,99933,100010,99767,99984,100331,100019,99958,99902,100286,99441,100208,100115,100017,99909,100074,100031,100212,99971,99771,100076,99822,99954,100122,99941,100001,100093,99638,100503,100030,99758,99967,99891,100262,99774,100034,99862,100389,99897,100275,99567,100138,100269,99541,100014,100297,99693,99934,100233,99902,100091,99996,99908,99997,100114,100055,99915,100235,99894,99654,100090,100446,100124,99355,99994,99952,100512,99869,99635,100365,99854,100023,100070,100076,99904,100128,99797,100093,99992,99894,99837,100248,100008,99967,100042,99763,100151,100002,100078,100055,137033,
53697,85327,97895,99434,99834,100405,99750,100332,99727,100274,99735,99911,99616,100010,100311,100281,99834,100087,100033,99665,100036,100170,99875,100260,99812,100086,100117,100259,99593,100098,99581,100156,99842,100160,100191,99947,99721,100451,100110,99899,99868,100011,99913,100033,99979,100014,100231,99717,100379,99788,99860,100292,99817,99898,100047,99813,99943,100219,100038,99962,100162,100001,99821,100065,100069,99835,100336,99903,99687,100118,100008,100439,99522,99845,100021,100269,100169,99800,100166,100016,99885,100059,99970,99823,100208,99922,100095,99641,99928,100044,100325,99959,100158,99726,99671,100280,100303,99837,99927,163643,
38568,73136,92348,98293,99290,100502,99827,100349,99964,99929,99948,99753,99691,100016,100204,100094,99930,99968,100222,99782,100131,100067,99830,100352,99754,100083,100130,100124,99888,99880,99863,100087,99537,100214,100463,99883,99690,100117,100117,99901,100267,99975,100238,99686,100074,99901,100117,99979,100107,99982,99806,99970,100436,99514,100359,99732,99553,100259,100250,99879,99912,100235,99992,99889,99900,99883,100356,100038,99689,100010,100199,100115,99819,99764,99928,100323,99967,100095,100247,100074,99794,99801,99975,100046,100111,99847,100065,100038,99606,100329,99988,100079,100223,100061,99564,100024,100373,99712,99762,198158,
24568,56189,81523,93778,98344,99945,99872,100340,100006,100021,100286,99379,99992,99926,100089,99848,99977,100098,99968,100175,99840,100183,100030,99980,99672,100343,100084,99950,100153,100004,100078,100044,99435,99962,100288,99931,99859,99973,100016,100022,99977,100146,100368,99623,100062,99951,100201,99702,100325,100161,99840,100000,100085,99880,100216,99756,99695,99930,100198,100137,99832,100273,99892,100056,99785,100127,99708,100452,99860,99972,99701,100178,99986,100048,99790,100190,100000,100054,100077,100511,100016,99267,100089,100113,100158,100058,99860,99876,100032,100123,100130,99827,100591,99909,99547,99612,100539,99606,100447,245284,
18517,47468,73860,89533,96381,99597,100128,99950,100206,99857,100419,99321,100050,99892,100154,99751,100124,100043,99957,100350,99698,100100,99962,100300,99411,100256,100204,99797,100255,100114,99937,100146,99678,99844,100122,99911,100056,99869,100140,99754,100099,100156,100111,99971,99836,100135,99996,100011,100171,100212,99771,99828,100385,99956,100185,99514,99729,100078,99770,100506,99827,100037,100140,100030,99778,100069,99828,100224,100183,99673,100036,99874,99809,100244,99835,100301,100081,100084,100015,100062,100288,99500,100130,99990,100134,99943,99933,99849,99984,99936,100201,99907,100466,99961,99991,99558,100108,100116,100165,274178,
15778,43070,69717,86962,95147,99036,99953,99987,100325,99711,100459,99557,100023,99753,100062,99884,100028,99990,99930,100327,99722,100149,100128,100091,99580,100076,100347,99727,100225,99972,100245,100074,99547,99846,100083,100062,99873,100194,100138,99723,99951,100178,100078,100015,99762,100066,100107,100180,99991,100339,99742,99683,100529,100009,100261,99442,99722,99972,99939,100295,99856,100154,100070,100076,99628,100125,99735,100208,100324,99532,100338,99748,99654,100236,99973,100192,99971,100196,100161,99923,100406,99615,99974,100015,99947,99991,100132,99693,99976,100052,100154,100002,100388,99841,100103,99520,100111,100456,100033,289729,
13378,38527,65284,84175,93490,98392,99751,100095,100199,99619,100368,99478,100389,99662,99963,100038,99937,100042,99726,100378,99791,99916,100559,99981,99751,99888,100342,99614,100251,99867,100300,100282,99613,99686,99886,100115,99912,100155,100292,99826,99893,100039,100430,99760,99781,99865,100071,100385,99739,100511,99642,100007,100264,100168,100333,99409,99858,99482,100409,100193,99708,100171,100157,99976,99708,100247,99771,99983,100439,99485,100359,99654,99711,99992,100136,100198,99960,100554,99929,99789,100446,99571,100174,99870,100059,99857,100392,99524,99815,100229,99949,100148,100386,100043,100029,99444,100085,100402,100041,306452,
11328,34398,60686,80983,91642,97623,99518,99785,100414,99714,100399,99319,100341,99622,99877,100353,99787,100041,99669,100390,99723,99954,100419,100273,99499,100140,100234,99732,100165,99863,100288,100334,99750,99672,99661,100232,99807,99914,100504,99877,99828,100063,100293,100080,99642,99931,100024,100241,100079,100217,99785,100172,100069,100371,100237,99570,99766,99253,100356,100231,99857,99877,100403,99933,99638,100211,99783,100161,100295,99498,100330,99768,99763,99891,100273,100078,99749,100517,100263,99889,100059,99781,100220,99773,100113,99821,100382,99644,99582,100289,99973,100119,100538,99878,100100,99534,100357,100040,100000,323482,
9514,30592,56231,77579,89641,96244,99196,99776,100176,99989,100292,99531,100157,99738,99673,100207,100046,99970,99800,100169,99896,99825,100472,100442,99352,100092,100302,99607,100216,99961,100543,100024,99753,99691,99667,100025,99991,100017,100395,99834,99862,100031,100449,100030,99731,99624,100201,100298,100173,100002,99781,100098,100190,100306,100148,99660,100089,99133,100433,100011,99767,99933,100363,99970,100042,99621,100178,100050,100326,99528,100181,99845,99839,99663,100548,100081,99571,100197,100557,99944,100109,99826,100192,99818,99823,99793,100607,99792,99373,100276,100015,99997,100435,99903,99987,99872,100463,100132,99823,340684,
8767,28789,53908,75791,88336,95602,99095,99665,100013,100175,100370,99542,100023,99783,99690,100205,100117,99944,99757,100096,99923,99844,100645,100192,99551,100021,100147,99749,100045,100216,100366,100136,99661,99701,99626,100023,99961,100194,100249,99913,99671,100182,100443,99958,99708,99771,100270,100293,100104,100090,99717,100203,100033,100313,99947,99958,99934,99398,100232,100004,99662,100073,100273,100029,100114,99415,100317,100079,100247,99569,100180,99863,100074,99419,100564,100015,99631,100237,100462,100061,100035,99891,100135,99918,99652,99841,100553,99958,99377,100265,99812,100077,100505,99768,100113,99820,100513,99997,99867,349559,
8012,27048,51615,73841,87336,94674,99034,99381,100005,100209,100213,99864,99938,99665,99594,100200,100147,99995,99711,100160,99955,99993,100554,100258,99423,100010,100048,99916,99876,100362,100250,100171,99705,99584,99949,99839,99952,100138,100154,100062,99796,100164,100304,99986,99761,99807,100242,100052,100400,99936,99765,100068,100153,100422,100030,99896,99784,99664,99933,99912,99862,100058,100262,100015,100203,99402,100172,100131,100156,99850,100022,99894,99933,99679,100387,100049,99706,100048,100564,99901,100244,99736,100239,99827,99643,99918,100425,99949,99634,100201,99834,99979,100462,99722,100326,99705,100283,100294,99823,358546,
7262,25394,49363,71738,86203,93861,98628,99377,100079,100058,100143,99963,99828,99856,99636,100060,100011,100279,99452,100298,99861,100099,100446,100431,99277,100175,99829,100036,99890,100312,100230,100128,99841,99657,99749,99830,99921,100169,100203,100005,99845,100043,100411,99860,99790,99923,100119,100140,100605,99765,99874,99918,100116,100566,100038,99724,100049,99400,100044,100033,99836,99892,100363,100034,100207,99532,99929,100176,100194,99818,100024,99874,99987,99691,100374,99939,100026,99777,100522,99925,100305,99804,99989,99939,99749,100051,100104,99986,99737,100254,99844,99971,100496,99677,100240,99736,100260,100447,99740,367710,
6581,23789,47071,69507,84941,93096,98260,99456,99760,100055,100190,99948,99873,99883,99660,100178,99846,100239,99399,100310,99964,99914,100572,100412,99386,100259,99585,100071,99947,100242,100096,100236,99736,100043,99554,99841,99796,100281,100205,99868,99971,99912,100350,99981,99939,99899,99923,100307,100556,99756,99762,100090,99829,100613,100163,99812,99900,99430,100275,99894,99839,99977,100345,99891,100279,99491,99985,100223,99924,100029,100062,99714,100076,99666,100449,99961,99810,99913,100570,100004,99984,99990,99925,100066,99921,99840,100192,99874,99968,100078,99908,99946,100460,99768,100144,99637,100301,100488,99770,377120,
5961,22124,44946,67326,83366,92186,97979,99105,99826,100133,100033,100089,99894,99568,99747,100371,99786,100077,99476,100330,100037,99756,100589,100438,99591,100195,99599,99842,100191,100154,100194,100162,99758,99970,99623,99766,99868,100136,100230,99833,100050,99917,100366,99783,100086,99961,99923,100431,100410,99874,99632,100238,99685,100498,100297,99904,99796,99407,100349,100004,99612,99929,100564,99758,100319,99658,99875,100206,99897,100011,100226,99654,100021,99645,100486,99969,99703,100168,100168,100211,100118,99888,99804,100133,99793,99853,100367,99767,99914,100058,100052,99844,100473,99774,100306,99669,100343,100402,99658,386838,
5402,20569,42817,65047,81834,91188,97450,98856,99793,100032,100023,100202,99745,99712,99629,100275,99979,100197,99503,100244,99957,99778,100482,100577,99670,100112,99542,99848,100286,100078,100264,99996,99907,99827,99747,99869,99785,100172,100163,99764,100105,99866,100384,99926,99945,99994,99841,100344,100496,100116,99445,100335,99536,100635,100089,100163,99677,99387,100135,100083,99867,99899,100591,99900,100266,99691,99651,100143,100069,99802,100368,99742,99904,99719,100394,99961,99648,100122,100018,100344,100229,99986,99791,99918,99873,100009,100374,99697,99851,99941,100148,99997,100288,99941,100230,99765,100282,100319,99741,396698,
4890,19070,40569,62812,80131,90004,97157,98507,99916,99748,99930,100304,99729,99801,99529,100115,100330,100086,99637,100032,99958,99956,100322,100683,99639,100076,99548,99866,100121,100266,100300,100002,99971,99907,99527,99972,99715,100181,100116,99673,100079,100017,100297,99940,99890,100125,99700,100308,100626,100097,99547,100153,99707,100497,100048,100328,99895,99357,100073,99959,100035,99780,100634,99789,100260,99832,99635,99885,100282,99718,100424,99717,99672,99836,100521,100017,99709,99932,100010,100483,100056,100046,99592,100001,100193,99855,100273,99867,99810,99859,100278,99914,100145,99993,100366,99720,100132,100331,99886,406773,
4635,18395,39469,61664,79295,89412,96847,98551,99667,99782,99925,100302,99759,99908,99343,100212,100320,100218,99487,100057,100004,99854,100262,100827,99667,100005,99531,99896,100093,100286,100397,99847,100104,99915,99509,99946,99608,100218,100018,99927,100037,100071,100157,99889,99900,100283,99653,100211,100652,100108,99712,100070,99696,100315,100250,100235,99905,99269,100224,99969,100038,99650,100586,99968,100101,99730,99920,99786,100242,99546,100521,99704,99801,99766,100530,100005,99780,99919,99875,100598,100054,100002,99740,99923,100261,99680,100389,99815,100020,99801,100168,99854,100322,99903,100422,99630,100141,100351,99917,411773,
4404,17695,38446,60523,78417,88826,96401,98551,99707,99659,99987,100294,99666,99987,99429,100122,100258,100057,99772,99888,100051,99896,100213,100660,99905,100104,99553,99822,99970,100286,100551,99791,100029,100085,99344,100029,99612,100140,100025,99916,100060,100046,100117,99921,99975,100231,99674,100234,100508,100179,99833,99893,99754,100441,100168,100111,99930,99387,100161,99931,100115,99751,100426,99999,100088,99738,99947,99836,100198,99573,100566,99709,99736,99793,100468,100010,99857,99827,99991,100470,100099,99980,99725,99947,100252,99613,100425,100034,99877,99804,100073,99881,100348,99976,100297,99719,100267,100328,99888,416744,
4214,17008,37390,59459,77375,88352,96078,98381,99587,99732,99877,100449,99672,99923,99446,100116,100245,100126,99714,99796,100119,99951,100210,100624,99923,100015,99587,99789,100026,100212,100647,99740,99958,100201,99331,100039,99581,100152,100217,99733,100056,99931,100216,99996,99923,100258,99528,100346,100418,100191,99840,100043,99587,100463,100126,100198,99931,99438,100217,99696,100136,99793,100426,100173,100081,99572,99973,99904,100156,99663,100438,99753,99776,99817,100302,100032,100038,99847,99851,100352,100091,100148,99729,99981,100166,99671,100304,100213,99766,99875,99926,99976,100430,99973,100304,99608,100328,100328,99800,421903,
3995,16434,36267,58400,76388,87828,95794,98174,99433,99846,99790,100410,99710,99888,99473,99991,100450,100027,99771,99956,99922,100112,100197,100468,99777,100141,99683,99719,100108,100103,100788,99760,99782,100413,99211,99967,99658,100109,100292,99745,99990,99932,100184,100083,99906,100192,99565,100256,100403,100257,99917,99962,99648,100393,100176,100074,100032,99499,100210,99644,100220,99647,100496,100142,100166,99494,99870,100006,100135,99719,100437,99719,99689,99817,100384,100221,99826,99883,99935,100240,100038,100298,99658,99961,100250,99632,100259,100432,99711,99697,100170,99774,100361,100078,100214,99719,100286,100371,99776,426966,
3787,15824,35195,57406,75341,87312,95394,98052,99295,99905,99860,100363,99789,99746,99619,99840,100550,100105,99593,99927,99996,100174,100098,100617,99626,100191,99661,99756,100011,100133,100735,99885,99672,100488,99323,99736,99689,100309,100279,99585,99998,99860,100204,100143,100032,99975,99833,100058,100204,100503,99882,99939,99798,100169,100277,100203,100026,99478,100165,99520,100397,99717,100296,100079,100359,99543,99801,100056,100060,99605,100467,99790,99813,99652,100429,100283,99749,99838,99915,100388,99922,100293,99680,99865,100359,99661,100257,100279,99801,99667,100247,99772,100230,100146,100192,99838,100181,100431,99863,431945,
3619,15163,34243,56313,74415,86629,95084,97863,99094,100080,99839,100257,99958,99663,99656,99790,100678,100057,99585,99908,99966,100177,100085,100566,99683,100218,99675,99648,100102,100067,100710,99861,99632,100516,99459,99727,99753,100131,100329,99711,99903,99974,100158,100078,99996,100033,99755,100118,100154,100529,99943,99824,99865,100142,100372,100123,99993,99584,100167,99542,100205,99941,100075,100199,100313,99629,99649,100130,100069,99681,100484,99793,99625,99774,100381,100279,99906,99752,99778,100489,100032,100161,99799,99884,100126,99811,100261,100246,99790,99769,100148,99768,100192,100258,100166,99840,100087,100459,99829,437059,
3442,14614,33283,55095,73583,85929,94716,97727,99019,99995,99808,100254,99993,99771,99577,99801,100507,100181,99625,99899,99934,100172,100099,100555,99809,100118,99625,99673,100212,99899,100754,99845,99718,100448,99433,99845,99785,100097,100178,99846,99790,100026,100168,100074,99994,100047,99843,99981,100179,100492,99930,99938,99955,100050,100356,100123,99953,99619,100173,99560,100175,99950,100095,100193,100277,99676,99652,100045,100015,99782,100373,99891,99598,99835,100425,100334,99770,99780,99663,100537,100145,100093,99801,99860,100056,99944,100193,100291,99777,99766,100055,99901,100052,100351,100198,99781,100151,100352,100012,442040,
3246,14088,32328,54022,72695,85068,94285,97661,99039,99875,99774,100268,99951,99727,99722,99785,100346,100292,99698,99829,99900,100272,100107,100367,99955,100109,99587,99718,100164,99993,100618,99776,99973,100478,99332,99809,99655,100230,100002,99974,99869,100049,100112,99878,100149,100091,100035,99889,100079,100506,100020,99894,99941,99892,100345,100115,100027,99713,100005,99737,100014,99978,100181,100072,100225,99845,99636,100111,99940,99821,100202,100118,99568,99843,100292,100407,99972,99661,99476,100701,100172,100048,99639,99926,100088,100052,100084,100288,99831,99764,99825,100061,99940,100459,100149,99810,100106,100374,100088,447169,
3070,13544,31368,52920,71760,84471,93692,97452,99115,99803,99813,100044,100113,99630,99742,99936,100413,100208,99557,99868,99897,100206,100122,100355,100048,100027,99668,99650,100152,100117,100594,99860,99773,100529,99391,99781,99741,100150,100057,100074,99735,99922,100148,99794,100296,100095,100077,99785,100084,100579,99928,99993,100093,99679,100367,100029,100113,99808,99860,99876,99852,100003,100213,100283,100046,99889,99539,100186,99874,99794,100256,100076,99719,99709,100327,100468,99878,99826,99466,100463,100147,100279,99587,99987,100006,100093,100057,100182,99900,99628,100021,100075,99872,100523,100113,99877,99991,100377,100119,452327,
2904,13001,30466,51783,70800,83785,93336,97170,98975,99730,99840,100090,100136,99625,99653,100050,100385,100169,99576,99838,99985,100130,100120,100311,100204,99980,99642,99671,100097,100078,100498,100097,99646,100517,99547,99742,99763,100029,100119,99960,99870,99949,100002,99853,100283,100180,100063,99691,100188,100383,100110,99978,100045,99819,100171,100010,100211,99798,99978,99841,99675,100083,100047,100594,99942,99822,99628,100037,100061,99660,100240,100195,99678,99615,100341,100573,99886,99853,99435,100436,100185,100210,99634,100010,99922,100066,100246,100096,99813,99871,99800,99996,100039,100366,100117,99978,99929,100366,100200,457484,
2768,12491,29437,50719,70072,82888,92694,97119,98862,99703,99870,99946,100097,99633,99848,99895,100330,100319,99470,100122,99795,100024,100153,100281,100270,99952,99695,99549,100229,99973,100519,100219,99551,100631,99468,99752,99792,99897,100159,100080,99748,100124,99981,99807,100113,100175,100134,99881,99918,100499,99992,100181,99978,99863,100060,100178,100077,99922,99895,99932,99592,100003,100148,100595,99958,99758,99615,100077,99923,99806,100338,99976,99778,99657,100194,100645,99969,99846,99279,100512,100181,100286,99530,99996,99883,100123,100297,100194,99774,99870,99773,100044,99900,100367,100085,100058,99881,100464,100149,462746,
2616,12004,28530,49599,69054,82255,92106,96857,98656,99836,99757,100020,100163,99710,99603,99963,100350,100238,99685,100072,99774,100048,100066,100319,100190,100044,99889,99367,100361,99902,100400,100056,99809,100661,99466,99639,99863,99995,100050,100154,99736,100079,99870,99847,100049,100303,100123,99737,99994,100466,100112,100036,100130,99809,100049,100248,99972,99904,100009,99883,99685,99815,100254,100481,99939,99915,99559,100163,99922,99724,100313,100050,99737,99734,100157,100522,100093,99822,99371,100385,100218,100289,99614,99828,99915,100256,100102,100388,99625,99962,99808,100002,99893,100307,100106,100005,99857,100614,100046,468041,
2545,11782,28037,49059,68561,81911,91868,96659,98584,99904,99780,99934,100170,99713,99633,99964,100347,100187,99692,100058,99802,100013,100076,100271,100212,100115,99942,99299,100369,99905,100363,99988,99857,100626,99506,99653,99923,99870,100115,100202,99728,100004,99959,99821,99983,100382,100118,99760,99956,100435,100158,100079,100127,99785,100109,100155,99955,100010,99950,99852,99728,99855,100180,100467,99987,99864,99590,100163,99991,99616,100381,100100,99627,99802,100104,100536,100020,99882,99353,100356,100294,100234,99655,99777,99963,100306,100106,100313,99693,99989,99592,100047,100015,100194,100189,100012,99794,100652,100023,470729,
2485,11534,27601,48540,67954,81639,91565,96573,98435,99972,99724,99913,100212,99675,99679,99953,100364,100235,99590,100127,99783,99984,100119,100288,100088,100242,99856,99276,100490,99843,100403,99978,99870,100536,99636,99649,99823,99885,100109,100217,99744,99913,99965,99938,99887,100400,100114,99726,100025,100313,100206,100105,100128,99823,100169,100161,99762,100180,99923,99791,99774,99881,100134,100585,99867,99855,99656,100143,100034,99489,100401,100182,99654,99673,100200,100637,99915,99884,99318,100383,100279,100234,99717,99724,99893,100510,99858,100516,99599,100001,99522,100169,99900,100230,100212,100010,99805,100707,99841,473490,
2427,11294,27214,47939,67395,81336,91294,96447,98369,99854,99872,99800,100175,99710,99672,99960,100447,100141,99630,100064,99736,100102,100090,100412,99980,100239,99906,99285,100463,99727,100521,99905,99970,100518,99644,99634,99817,99926,99982,100284,99785,99895,99905,100043,99697,100499,100084,99799,100009,100227,100299,100179,99940,99941,100081,100183,99817,100035,100138,99676,99894,99968,99992,100562,99971,99665,99704,100194,100024,99476,100390,100214,99654,99570,100283,100639,99807,100007,99435,100246,100377,100126,99672,99841,99946,100487,99773,100547,99536,100005,99563,100152,99894,100235,100225,100018,99764,100839,99640,476252,
2376,11072,26752,47413,66789,81089,90882,96340,98303,99835,99863,99813,100135,99773,99672,99955,100438,100093,99731,100063,99670,100131,100043,100381,100113,100260,99840,99294,100501,99662,100489,99850,100005,100620,99597,99630,99824,99889,100053,100191,99846,99832,99995,100046,99621,100518,100078,99909,99931,100245,100180,100248,99984,99767,100288,100131,99850,99986,100122,99715,99852,100002,99958,100581,99992,99575,99865,100125,100068,99405,100389,100224,99693,99579,100201,100695,99763,100019,99513,100209,100308,100122,99708,99937,99910,100419,99781,100697,99388,100102,99516,100120,99973,100163,100276,99987,99724,100849,99623,478967,
2317,10819,26329,46832,66319,80629,90655,96223,98288,99685,99918,99856,100095,99824,99646,99967,100390,100005,99828,100101,99560,100108,100126,100345,100128,100288,99844,99340,100481,99663,100402,99851,100044,100692,99569,99574,99949,99777,100091,100159,99893,99695,100100,100034,99613,100558,100107,99923,99847,100340,100105,100265,100021,99749,100293,100079,99871,99994,100086,99755,99847,99969,99997,100517,100032,99562,99866,100130,100106,99323,100431,100126,99785,99663,100167,100616,99799,99990,99595,100110,100365,100081,99727,99958,99870,100509,99683,100748,99428,100119,99424,100126,100069,100002,100242,100125,99693,100832,99614,481709,
2241,10593,25884,46336,65792,80159,90468,95968,98306,99648,99907,99911,100056,99869,99584,99929,100395,100028,99825,100106,99569,100126,100058,100419,100057,100343,99842,99379,100392,99594,100580,99692,100060,100789,99538,99650,99906,99729,99984,100279,99881,99773,100050,99951,99746,100414,100152,100006,99853,100359,100012,100303,99975,99826,100281,100015,99906,99997,100094,99782,99804,99970,100059,100447,100013,99535,99914,100037,100153,99487,100285,100183,99809,99594,100153,100560,99908,99988,99622,100059,100267,100194,99725,100032,99804,100537,99653,100663,99519,100143,99357,100147,100088,99962,100328,100023,99763,100727,99705,484416,
2168,10401,25463,45840,65268,79732,90209,95752,98280,99537,99866,99944,100179,99800,99534,99979,100414,99894,99865,100176,99541,100067,100111,100334,100150,100376,99765,99422,100470,99510,100591,99624,100036,100877,99485,99765,99825,99735,99895,100373,99852,99843,100063,99912,99811,100411,100120,99944,99819,100398,100098,100192,99989,99841,100282,100098,99858,99970,100136,99699,99767,100112,100016,100443,100042,99580,99819,100025,100159,99519,100167,100199,99898,99586,100150,100580,99913,99939,99627,100112,100184,100255,99815,99924,99901,100368,99791,100583,99499,100216,99342,100141,100102,99935,100242,100139,99789,100660,99709,487163,
2108,10195,25024,45308,64732,79295,89993,95593,98126,99612,99739,100013,100203,99738,99613,99968,100371,99890,99810,100188,99587,100038,100131,100307,100336,100239,99666,99426,100597,99533,100537,99568,100069,100844,99572,99699,99814,99722,99969,100295,99997,99748,100117,99924,99807,100320,100220,99865,99824,100266,100183,100264,99941,99880,100360,100031,99714,100056,100167,99646,99848,100045,100084,100415,100002,99553,99933,100033,100125,99579,100186,100076,99890,99579,100209,100557,99903,99977,99551,100185,100158,100229,99911,99839,99914,100429,99808,100463,99556,100307,99251,100140,100154,99856,100329,100067,99873,100558,99791,489839,
2054,9997,24587,44796,64148,78972,89644,95339,98133,99579,99729,100130,100076,99766,99616,99980,100312,99961,99770,100157,99674,99936,100174,100280,100446,100218,99644,99425,100517,99619,100431,99653,99950,100887,99602,99700,99867,99672,99980,100278,100073,99707,100101,99920,99792,100242,100300,99828,99921,100192,100237,100190,100064,99778,100343,100108,99818,99983,100176,99525,99957,99894,100113,100494,99864,99653,99937,100066,100100,99570,100195,99992,100004,99553,100142,100593,100015,99841,99687,100091,100006,100366,99987,99841,99799,100428,99873,100451,99615,100267,99245,100068,100220,99902,100235,100095,99889,100552,99865,492538,
1996,9797,24187,44239,63645,78458,89443,95076,98119,99578,99656,100156,100171,99705,99624,99973,100238,99959,99750,100264,99695,99807,100262,100298,100377,100301,99509,99472,100560,99601,100430,99628,100014,100868,99606,99822,99739,99658,99931,100347,100058,99702,100116,99927,99840,100284,100165,99951,99799,100224,100092,100274,100155,99682,100420,100060,99827,99976,100123,99577,100067,99838,100104,100390,99952,99648,99938,100022,100205,99507,100215,100006,99984,99547,100118,100590,100162,99611,99724,100211,99978,100359,99924,99836,99867,100437,99833,100496,99603,100199,99282,100103,100195,99851,100263,100181,99885,100461,99890,495307,
1950,9577,23816,43640,63124,77919,89248,94936,97994,99679,99607,100134,100163,99785,99502,99980,100210,99959,99819,100205,99753,99782,100305,100182,100360,100404,99442,99616,100445,99607,100374,99729,100017,100806,99597,99834,99734,99596,99901,100357,100183,99655,100157,99940,99796,100388,100102,99930,99812,100222,100085,100274,100098,99710,100382,100106,99799,100045,100101,99529,100074,99782,100114,100494,99926,99673,99925,99967,100253,99533,100167,100019,100057,99492,100026,100634,100194,99649,99613,100274,99913,100437,99872,99888,99916,100369,99887,100469,99621,100166,99282,100070,100211,99770,100309,100281,99743,100544,99897,498087,
1897,9352,23437,42995,62644,77494,88963,94766,97821,99615,99689,100206,100160,99697,99569,99943,100208,100049,99735,100212,99770,99742,100243,100251,100363,100341,99484,99605,100513,99575,100308,99908,99886,100784,99618,99844,99769,99555,99884,100386,100178,99574,100159,99935,99901,100308,100229,99941,99735,100220,100131,100271,100094,99716,100378,100058,99791,99917,100287,99444,100108,99845,100039,100472,99934,99769,99889,99917,100298,99596,100056,100074,100037,99439,100161,100487,100325,99631,99585,100240,99849,100495,99841,100016,99912,100289,99939,100393,99529,100305,99352,100042,100171,99708,100383,100316,99604,100555,99934,500917,
1843,9119,23052,42468,62092,77061,88698,94459,97813,99527,99771,100158,100204,99611,99584,100031,100184,99977,99716,100242,99813,99637,100273,100279,100236,100464,99522,99604,100589,99547,100228,99797,100043,100678,99638,99872,99751,99645,99937,100261,100089,99715,100122,99955,99861,100330,100148,99902,99863,100110,100235,100337,100080,99843,100177,100084,99880,99772,100235,99550,99951,100120,99921,100519,99873,99771,99858,99937,100403,99476,100080,100097,100003,99452,100155,100464,100302,99702,99534,100267,99853,100489,99843,99990,99920,100387,99885,100367,99562,100396,99189,100108,100122,99806,100303,100320,99644,100541,100051,503627,
1778,8917,22665,41916,61529,76651,88410,94236,97788,99456,99768,100101,100147,99743,99539,100031,100137,99966,99846,100164,99855,99576,100264,100290,100260,100371,99564,99695,100506,99643,100136,99796,100131,100611,99760,99752,99723,99669,99923,100121,100278,99704,99988,100024,99828,100459,100145,99860,99890,100035,100230,100285,100164,99707,100310,100114,99981,99642,100213,99585,99966,100099,99956,100417,100049,99678,99842,99948,100437,99501,100069,100020,100011,99448,100287,100388,100243,99674,99574,100229,99902,100454,99873,100051,99931,100315,99828,100466,99595,100257,99323,100031,100232,99687,100328,100357,99588,100550,100129,506391,
1724,8720,22243,41391,61061,76076,88090,94123,97674,99477,99712,100087,100084,99746,99652,99985,100131,100024,99803,100236,99756,99635,100198,100378,100205,100329,99538,99766,100505,99697,99981,99838,100109,100689,99739,99774,99725,99638,99982,100047,100399,99667,99988,99882,100085,100325,100173,99821,99834,100070,100178,100335,100222,99695,100261,100099,100003,99665,100208,99609,99927,100043,99988,100352,100097,99663,99831,100063,100343,99515,100067,100016,100052,99506,100258,100267,100236,99686,99697,100233,99905,100364,99953,99999,99964,100298,99947,100288,99686,100256,99332,100037,100083,99813,100273,100383,99510,100533,100224,509225,
1676,8499,21895,40887,60444,75662,87802,93912,97531,99463,99718,99976,100113,99871,99606,99981,100050,99991,99904,100210,99786,99581,100247,100344,100087,100447,99571,99815,100406,99657,100179,99640,100203,100699,99767,99823,99550,99735,99968,100024,100424,99662,99869,99929,100191,100192,100326,99779,99860,100065,100188,100325,100202,99663,100299,99964,100043,99616,100286,99588,100049,99886,100147,100267,100196,99539,99896,100003,100282,99572,100038,100170,99987,99564,100183,100264,100160,99779,99612,100338,99782,100481,99903,100079,99861,100359,99883,100408,99611,100222,99325,100048,100122,99895,100170,100400,99604,100441,100216,512067,
