Substrate 1,Substrate 2,Substrate 3,Substrate 4,Substrate 5,Substrate 6,Substrate 7,Substrate 8,Substrate 9,Substrate 10,Substrate 11,Substrate 12,Substrate 13,Substrate 14,Substrate 15,Substrate 16,Substrate 17,Substrate 18,Substrate 19,Substrate 20,Substrate 21,Substrate 22,Substrate 23,Substrate 24,Substrate 25,Substrate 26,Substrate 27,Substrate 28,Substrate 29,Substrate 30,Substrate 31,Substrate 32,Substrate 33,Substrate 34,Substrate 35,Substrate 36,Substrate 37,Substrate 38,Substrate 39,Substrate 40,Substrate 41,Substrate 42,Substrate 43,Substrate 44,Substrate 45,Substrate 46,Substrate 47,Substrate 48,Substrate 49,Substrate 50,Substrate 51,Substrate 52,Substrate 53,Substrate 54,Substrate 55,Substrate 56,Substrate 57,Substrate 58,Substrate 59,Substrate 60,Substrate 61,Substrate 62,Substrate 63,Substrate 64,Substrate 65,Substrate 66,Substrate 67,Substrate 68,Substrate 69,Substrate 70,Substrate 71,Substrate 72,Substrate 73,Substrate 74,Substrate 75,Substrate 76,Substrate 77,Substrate 78,Substrate 79,Substrate 80,Substrate 81,Substrate 82,Substrate 83,Substrate 84,Substrate 85,Substrate 86,Substrate 87,Substrate 88,Substrate 89,Substrate 90,Substrate 91,Substrate 92,Substrate 93,Substrate 94,Substrate 95,Substrate 96,Substrate 97,Substrate 98,Substrate 99,Substrate 100,
101,872,3338,8900,18380,31552,46295,62050,74423,83489,91183,95413,97665,98994,99497,100088,99347,100276,100068,99532,99995,99978,100249,99933,100224,99589,100331,99624,100504,100119,100024,99577,99846,100167,99895,99948,100695,100237,99313,99618,99895,100195,100205,100177,99986,99554,100062,99994,100518,100354,99966,99680,99956,100540,99759,100082,100433,99532,100217,100032,99921,99981,99658,99806,100040,100249,100378,99798,99608,99974,99827,99515,99916,100264,100484,100294,99585,100127,99775,100031,99636,100152,99879,100375,100053,99756,100364,99963,100202,99876,100092,100145,99978,99741,99823,100131,99993,99743,99818,788583,
101,871,3336,8893,18367,31541,46292,62024,74413,83478,91171,95408,97680,98965,99514,100084,99338,100274,100066,99534,100004,99974,100247,99925,100245,99572,100336,99621,100522,100105,100028,99580,99828,100187,99870,99975,100673,100254,99316,99602,99901,100191,100216,100167,100003,99531,100068,100015,100499,100358,99975,99664,99961,100532,99766,100086,100449,99512,100224,100022,99931,99984,99647,99803,100047,100255,100371,99791,99623,99954,99838,99533,99905,100258,100478,100286,99589,100143,99784,100024,99629,100160,99855,100386,100056,99750,100390,99939,100207,99876,100093,100131,99984,99750,99835,100111,100005,99730,99828,788687,
101,870,3334,8885,18351,31537,46274,62005,74400,83456,91182,95404,97665,98982,99486,100097,99340,100255,100086,99522,100013,99954,100271,99925,100242,99565,100343,99634,100488,100122,100025,99591,99847,100156,99888,99955,100686,100265,99305,99597,99913,100192,100181,100196,99996,99533,100059,100035,100488,100359,99962,99678,99970,100527,99759,100098,100429,99509,100237,100028,99918,99995,99647,99808,100009,100291,100372,99780,99617,99969,99822,99530,99920,100276,100459,100289,99586,100139,99787,100022,99624,100164,99882,100372,100030,99770,100376,99944,100200,99875,100111,100143,99972,99759,99842,100098,100007,99716,99826,788800,
101,869,3331,8881,18341,31522,46251,62005,74380,83439,91162,95409,97652,98995,99485,100094,99349,100241,100090,99521,100017,99953,100276,99927,100264,99559,100323,99632,100496,100114,100031,99591,99856,100126,99900,99957,100677,100273,99327,99596,99897,100190,100192,100192,99991,99533,100069,100014,100498,100373,99928,99702,99978,100501,99773,100087,100453,99496,100234,100048,99888,100013,99631,99826,100019,100279,100381,99762,99614,99966,99813,99545,99923,100273,100466,100296,99565,100141,99794,100018,99612,100175,99894,100357,100033,99785,100367,99938,100234,99854,100114,100149,99975,99738,99845,100116,99987,99714,99849,788889,
101,869,3329,8872,18335,31505,46229,61993,74382,83417,91154,95397,97665,98995,99472,100068,99388,100235,100088,99511,100030,99948,100268,99924,100272,99563,100333,99628,100477,100117,100032,99594,99858,100119,99902,99958,100685,100265,99332,99585,99911,100170,100181,100223,100003,99515,100075,100022,100506,100358,99926,99700,99991,100478,99773,100100,100440,99501,100231,100056,99889,100022,99635,99833,99995,100263,100410,99737,99641,99948,99815,99534,99943,100277,100470,100276,99577,100121,99836,99982,99633,100174,99884,100335,100067,99774,100362,99940,100234,99853,100124,100141,99988,99724,99845,100129,99976,99725,99834,788999,
101,868,3324,8865,18328,31489,46225,61973,74370,83418,91127,95385,97668,99015,99453,100056,99406,100248,100069,99513,100035,99957,100237,99940,100284,99541,100333,99618,100493,100107,100033,99621,99850,100124,99896,99947,100675,100292,99333,99582,99901,100173,100157,100230,100017,99514,100087,100027,100493,100354,99938,99686,100011,100470,99759,100097,100425,99548,100217,100057,99882,100014,99648,99818,100002,100271,100403,99731,99630,99952,99835,99530,99937,100276,100477,100265,99569,100112,99845,100016,99614,100175,99886,100337,100063,99759,100382,99938,100219,99846,100139,100134,100002,99711,99867,100103,99997,99712,99827,789116,
101,868,3320,8855,18324,31479,46200,61965,74339,83420,91136,95353,97676,99020,99443,100040,99441,100237,100060,99517,100040,99959,100229,99927,100296,99530,100338,99631,100490,100109,100040,99618,99844,100111,99890,99966,100682,100270,99330,99584,99895,100193,100139,100232,100012,99525,100112,100010,100494,100354,99940,99682,100014,100467,99748,100123,100393,99553,100246,100054,99886,100012,99636,99820,100007,100258,100419,99728,99612,99961,99843,99487,99956,100293,100474,100281,99554,100112,99847,100033,99597,100170,99885,100343,100067,99761,100377,99934,100222,99846,100121,100133,100036,99699,99868,100107,99982,99723,99817,789229,
101,867,3318,8848,18315,31466,46185,61928,74339,83419,91140,95358,97636,99050,99424,100041,99446,100244,100047,99526,100019,99958,100256,99917,100304,99514,100350,99610,100518,100095,100044,99619,99835,100114,99896,99950,100663,100281,99337,99590,99905,100211,100123,100231,100005,99525,100099,100006,100515,100357,99930,99660,100029,100490,99739,100109,100400,99542,100267,100037,99910,99995,99639,99804,100023,100259,100421,99720,99605,99954,99870,99485,99959,100275,100493,100270,99541,100104,99862,100036,99582,100178,99893,100352,100031,99796,100373,99929,100222,99847,100122,100121,100033,99722,99860,100102,99999,99707,99828,789330,
100,867,3312,8844,18307,31452,46170,61912,74329,83416,91111,95360,97637,99047,99424,100034,99443,100269,100044,99512,100021,99964,100249,99921,100286,99556,100344,99600,100514,100075,100055,99619,99841,100118,99890,99931,100684,100278,99319,99618,99889,100199,100141,100231,100009,99522,100086,100014,100514,100359,99937,99636,100029,100507,99741,100095,100422,99542,100244,100049,99924,99974,99648,99807,100029,100251,100427,99725,99611,99931,99882,99471,99951,100305,100484,100243,99559,100116,99846,100034,99572,100197,99893,100360,100029,99775,100381,99939,100232,99830,100138,100118,100027,99726,99856,100088,100004,99729,99813,789436,
100,867,3308,8833,18308,31433,46150,61882,74323,83429,91095,95341,97646,99036,99412,100053,99454,100267,100009,99529,100016,99969,100252,99905,100307,99571,100323,99582,100536,100080,100061,99610,99857,100097,99882,99933,100704,100270,99332,99607,99878,100194,100169,100198,100020,99531,100089,100010,100513,100349,99942,99638,100030,100518,99744,100096,100415,99543,100240,100053,99915,99959,99670,99813,100015,100252,100438,99718,99599,99946,99872,99473,99950,100327,100469,100250,99548,100110,99858,100034,99567,100193,99902,100365,100020,99778,100343,99982,100208,99842,100154,100085,100051,99701,99886,100086,100002,99723,99797,789560,
100,865,3307,8825,18298,31419,46140,61862,74318,83416,91097,95306,97676,98996,99415,100060,99463,100270,100011,99530,100019,99951,100271,99891,100302,99556,100346,99588,100525,100089,100062,99609,99843,100104,99881,99920,100706,100312,99286,99625,99879,100192,100167,100196,100007,99547,100102,100003,100499,100358,99944,99625,100051,100506,99728,100119,100416,99538,100244,100043,99930,99941,99695,99798,100019,100245,100452,99705,99620,99920,99870,99486,99943,100335,100468,100244,99542,100127,99848,100048,99567,100166,99925,100370,100001,99782,100350,99987,100198,99841,100169,100086,100039,99703,99869,100105,99998,99724,99799,789661,
100,864,3307,8820,18285,31404,46117,61866,74304,83395,91072,95323,97670,99003,99407,100049,99467,100277,100018,99507,100014,99972,100275,99866,100309,99581,100328,99593,100525,100074,100071,99628,99822,100085,99905,99930,100690,100304,99307,99605,99892,100197,100159,100179,100033,99538,100098,100003,100506,100363,99927,99648,100036,100532,99706,100117,100427,99543,100228,100054,99921,99936,99701,99793,100033,100240,100444,99730,99595,99904,99880,99498,99923,100356,100479,100235,99528,100127,99871,100032,99560,100166,99942,100363,100029,99763,100341,99993,100196,99838,100166,100093,100041,99698,99857,100115,100006,99716,99808,789758,
100,864,3307,8813,18268,31390,46112,61838,74295,83383,91076,95306,97665,99018,99385,100052,99481,100299,100007,99469,100030,99988,100263,99868,100302,99593,100300,99605,100525,100091,100053,99638,99818,100082,99907,99944,100683,100294,99308,99627,99879,100200,100175,100184,100001,99549,100090,100004,100497,100391,99911,99662,100033,100509,99715,100135,100417,99526,100253,100047,99919,99939,99696,99797,100027,100224,100462,99725,99592,99917,99883,99468,99945,100348,100500,100235,99512,100121,99891,100008,99574,100150,99954,100365,100036,99756,100332,99999,100200,99822,100176,100096,100050,99693,99848,100126,100011,99711,99802,789865,
100,862,3301,8809,18253,31387,46089,61824,74294,83365,91063,95315,97650,99002,99401,100043,99486,100288,100016,99473,100022,99990,100269,99867,100301,99590,100315,99588,100518,100098,100072,99613,99815,100076,99934,99918,100707,100303,99293,99616,99875,100219,100150,100216,99982,99570,100082,100002,100496,100389,99929,99637,100047,100524,99690,100152,100398,99534,100251,100051,99920,99943,99684,99797,100039,100210,100467,99726,99607,99903,99870,99477,99963,100327,100506,100247,99498,100132,99881,100008,99576,100156,99957,100342,100050,99754,100321,100003,100203,99798,100194,100102,100057,99680,99856,100125,100018,99709,99798,789976,
100,861,3297,8806,18242,31366,46083,61801,74299,83344,91042,95319,97664,98977,99410,100041,99480,100289,100011,99479,100024,99966,100291,99860,100336,99583,100303,99580,100533,100091,100077,99612,99811,100074,99931,99922,100688,100313,99283,99621,99889,100202,100158,100236,99967,99572,100058,100016,100497,100406,99919,99617,100074,100520,99699,100160,100377,99530,100264,100032,99934,99936,99697,99800,100047,100187,100472,99721,99593,99911,99890,99451,99979,100310,100516,100239,99507,100146,99871,100008,99575,100164,99944,100336,100072,99732,100337,100000,100213,99800,100202,100090,100057,99678,99832,100148,100028,99699,99796,790079,
100,860,3296,8800,18231,31354,46055,61795,74290,83337,91019,95316,97675,98955,99429,100027,99479,100287,100024,99455,100055,99955,100285,99870,100341,99572,100313,99571,100517,100099,100085,99639,99772,100104,99911,99921,100678,100322,99288,99626,99879,100221,100150,100219,99978,99566,100066,100016,100491,100406,99918,99613,100089,100524,99709,100138,100382,99527,100263,100028,99927,99964,99671,99790,100077,100188,100462,99717,99612,99885,99887,99447,99985,100314,100512,100257,99508,100141,99871,99996,99577,100170,99936,100351,100077,99720,100355,99977,100213,99813,100198,100084,100079,99663,99832,100157,100033,99667,99802,790194,
